student_id,logins_per_week,avg_quiz_score,assignments_submitted,time_spent_hours,discussion_posts,completion_status
155,6,44.22496785097263,9,2.0986109265785693,7,0
156,8,52.53512305692161,4,34.9954420673523,2,1
157,7,80.26861100944303,2,5.211646291865914,4,0
158,11,61.51880687776983,6,24.696567125706363,5,1
159,1,55.24981894418433,1,39.47776584293898,0,0
160,0,57.71743530513632,8,22.390444547518637,6,1
161,6,59.35304585431603,9,37.11358684608246,6,1
162,6,90.92018769548046,9,10.972428258461365,6,1
163,13,48.19727988652173,0,30.878305539628254,0,0
164,7,82.53465981460712,5,22.188098650994295,0,0
165,4,73.16919861447447,6,29.379610332875664,0,0
166,2,57.79060861886791,7,4.368971775427175,0,0
167,11,65.1868513867766,9,7.614085492436614,6,1
168,7,55.37241661566748,8,7.058443286324174,6,1
169,5,76.69082265194083,1,28.112289205326583,1,0
170,10,44.895650824014425,9,34.088745560077896,5,1
171,2,40.311091766439205,1,30.48541681632632,4,0
172,0,77.67366489691815,4,3.157941803876578,7,0
173,2,51.65643721072254,4,34.95416928083949,7,0
174,4,44.256455019995656,5,15.457573490138767,2,0
175,14,63.807029632833306,2,17.092225635155135,6,0
176,13,43.046111862363816,7,5.985028328234274,2,1
177,2,93.19702893703959,0,30.021397831565125,5,0
178,0,41.65700631242228,5,8.926787382086406,5,0
179,4,74.73189373045352,3,23.430673496715784,2,0
180,9,66.30844738108522,0,33.94697946336139,6,1
181,6,80.32156811771196,6,5.389764491058135,2,0
182,14,59.68916004848391,8,22.342751432589893,7,1
183,13,49.302497003664655,3,10.862223638892447,1,1
184,6,98.91045329863186,3,15.03122084257389,7,0
185,10,90.3360101241618,5,20.010857774361135,3,0
186,8,91.62427709870052,2,15.49396352461358,6,1
187,14,55.01508163095184,5,26.655267931079887,6,1
188,14,42.33008406576539,6,20.224119866661507,4,0
189,9,58.19593088039337,9,24.19958041913843,0,1
190,9,72.22494563179933,9,29.99925406500669,3,1
191,11,59.59907450776245,2,23.19420610611662,5,1
192,12,89.67214022725531,6,24.288346517108845,6,1
193,2,56.29257494918451,2,23.44942461586037,2,0
194,14,97.91510982344619,1,16.393359786148995,3,1
195,6,67.43590969682371,9,14.822979687132888,4,1
196,0,90.52138450071888,3,36.18660109151047,5,0
197,3,51.66280203969238,7,25.087098447155768,0,0
198,12,64.68123430340071,8,11.285419907656872,0,1
199,3,81.97073264603162,6,20.933412518259725,4,0
200,13,48.30118554506808,0,14.553242288674731,4,0
